Test Case ID,Test Case Name,Use Case Number,Browser,Priority,Test Requirements,Steps to be Executed,Expected Result,Actual Result,Pass/Fail,Assign To,Remarks
TC-HTML-001,Validate Void Element Syntax,UC-HTML-01,"Chrome, Edge, Firefox",Medium,W3C Validator access,1. Open homepage 2. Run W3C validation 3. Check meta/link/img tags,Void elements should not contain unnecessary trailing slash,"Trailing slash warnings found in meta, link, img tags",Fail,Frontend Developer,HTML5 syntax issue
TC-HTML-002,Verify Deprecated Marquee Usage,UC-HTML-02,"Chrome, Edge",High,Homepage access,1. Open homepage 2. Inspect scrolling notices,CSS-based scrolling implementation should be used,<marquee> element detected,Fail,Frontend Developer,Obsolete HTML element
TC-HTML-003,Validate Unicode NFC Format,UC-HTML-03,Chrome,Medium,Bengali content available,1. Run W3C validation 2. Check Bengali text normalization,Bengali text should be NFC normalized,Multiple Unicode normalization warnings detected,Fail,Content Team,Unicode formatting issue
TC-HTML-004,Validate Deprecated Font Tag,UC-HTML-04,All Browsers,High,Homepage source inspection,1. Inspect homepage HTML 2. Search for <font> tag,Styling should use CSS only,Deprecated <font> tags found,Fail,Frontend Developer,Replace with CSS
TC-HTML-005,Verify iframe Attribute Formatting,UC-HTML-05,Chrome,High,Embedded video section available,1. Inspect iframe code 2. Validate attributes,iframe attributes should follow HTML5 syntax,"Invalid loading=""lazy""; detected",Fail,Frontend Developer,Syntax error
TC-HTML-006,Validate iframe Width and Height,UC-HTML-06,Firefox,Medium,Google Map iframe section,1. Inspect iframe attributes 2. Run validation,Width/height values should be valid,"width=""100%"" and height=""100%"" invalid",Fail,Frontend Developer,Use CSS styling
TC-HTML-007,Verify allowfullscreen Attribute,UC-HTML-07,Edge,Medium,Facebook iframe available,1. Inspect iframe 2. Check fullscreen attribute,Boolean attribute should follow HTML5 standard,"allowfullscreen=""true"" invalid",Fail,Frontend Developer,"Remove ""true"""
TC-HTML-008,Validate frameborder Usage,UC-HTML-08,"Chrome, Firefox",Medium,iframe sections available,1. Inspect iframe code 2. Run validation,frameborder should not be used,Deprecated attribute warning shown,Fail,Frontend Developer,Use CSS border styling
TC-HTML-009,Validate Image Width Attribute,UC-HTML-09,Chrome,Medium,Image section available,1. Inspect image attributes 2. Run validation,Width should use valid numeric value or CSS,"img width=""100%"" invalid",Fail,Frontend Developer,Use CSS width
TC-HTML-010,Validate Script Type Attribute,UC-HTML-10,All Browsers,Low,JavaScript resources loaded,1. Inspect script tags 2. Run validation,HTML5 script should omit unnecessary type attribute,"type=""text/javascript"" warning shown",Fail,Frontend Developer,Remove type attribute
TC-HTML-011,Verify Heading Hierarchy,UC-HTML-11,"Chrome, Edge",Medium,Homepage headings available,1. Inspect heading structure 2. Validate accessibility,Heading levels should be sequential,h2 → h6 and h2 → h4 skipping detected,Fail,UI/UX Developer,Accessibility issue
TC-HTML-012,Validate Obsolete iframe Attributes,UC-HTML-12,Firefox,Medium,Facebook iframe available,1. Inspect iframe attributes 2. Run W3C validation,Obsolete attributes should not exist,scrolling attribute warning found,Fail,Frontend Developer,Remove obsolete attribute
TC-HTML-013,Full Homepage W3C Validation,UC-HTML-13,"Chrome, Firefox, Edge",High,W3C validator access,1. Open homepage URL 2. Validate through W3C,Homepage should pass validation without errors,Multiple HTML5 validation issues detected,Fail,Frontend Team,Requires complete HTML cleanup
